Stock Pair,RNN R2,RNN RMSE,RNN MAE,RNN MAPE,LSTM R2,LSTM RMSE,LSTM MAE,LSTM MAPE
"""GRASIM_PIDILITIND""",-0.03080054162800261,2.6899269423821712,1.6922848264069326,0.2797191992436433,-0.026587562981456703,2.684424322142105,1.6887901407472705,0.27973075381518925
"""GRASIM_LT""",0.14147975418296188,1.3846564428358106,1.0374696019478045,0.3484963164333654,0.1803166921131265,1.3529751056088597,1.0178668723857334,0.3350049616596663
"""GRASIM_HINDUNILVR""",0.20766706719827877,4.47286424635938,2.0518433976897565,0.4210363592672499,0.1969473526995149,4.503019966510957,2.058812191552656,0.41989832067196864
"""GRASIM_ITC""",0.5979658630919102,1.904691622576678,1.4121779222861832,0.3234467392802509,0.5972344958543843,1.9064233114557998,1.4123099723181824,0.32152938373712386
"""GRASIM_RELIANCE""",0.5820630475813953,2.770398334049875,2.212201205295998,0.3498475914541893,0.6188363236270759,2.6457121099453644,2.1044260625539892,0.3138728063218647
"""GRASIM_ONGC""",0.6865462085451619,2.0374202932860586,1.380125081163596,0.18339725815534538,0.6871702544185594,2.0353911629776773,1.381814541131881,0.1827292520293502
"""GRASIM_UPL""",-0.1771151585347246,2.5260772745400497,1.617453053639169,0.4635243538674932,-0.16286464972176695,2.510739989557206,1.5626065304275998,0.4194135907087869
"""GRASIM_ICICIBANK""",0.18708982439451216,1.599344810645733,1.2039083247454663,0.358581503019944,0.254192762577955,1.5319130729829868,1.138265780160452,0.332124729995629
"""GRASIM_SIEMENS""",0.07258033791523877,1.521596243524497,1.126937669951023,0.4013317458077095,0.09083642744404608,1.5065456338305858,1.1138910824233115,0.3933757615354636
"""GRASIM_ABB""",0.03556422596549602,1.8001440383041634,1.2986776514618232,0.3416925463885201,0.07637179448636544,1.7616482398298572,1.2699833275549848,0.3326959219900956
"""GRASIM_TCS""",0.3387625696463801,1.8204491549786779,1.2384876709556096,0.45639154537835047,0.33655212465955076,1.8234893983027813,1.251759959985091,0.4567065656641995
"""GRASIM_INFY""",0.4423437296021615,1.9209732206161163,1.495635665035768,0.3522782304806005,0.4432568692316421,1.919399818208191,1.496568574773282,0.35677900771380816
"""GRASIM_TATASTEEL""",0.14169118508209966,1.7259937264650878,1.2093840248424697,0.4028070389570829,0.1815648696335045,1.6854254898906873,1.1740565114048593,0.38767450099923634
"""GRASIM_SUNPHARMA""",0.44409990463213234,1.9041945226707235,1.3605151467397592,0.2384921649074929,0.43821801398684945,1.9142420048530606,1.3672439807504417,0.24255712415290168
"""GRASIM_CONCOR""",0.18350158939289762,3.507831067317005,2.1733414874606956,0.49249777288973473,0.2251478536960314,3.4172001634551137,2.0388430756644187,0.4371685490177522
"""GRASIM_BHARTIARTL""",-0.2910017385037491,3.1238724746136004,1.950580669498164,0.37877162701290223,-0.3167635944194016,3.154886852658623,1.9815828297097182,0.3984009253336328
"""PIDILITIND_LT""",0.3446137985366209,2.780198065751864,1.8295450777124969,0.24855533994339943,0.35581232301732046,2.7563432294625576,1.8141801812423888,0.2468309337654732
"""PIDILITIND_HINDUNILVR""",-0.31366153709514855,4.852841763566174,2.360745501672037,0.48085098905128243,-0.3045596825330279,4.836000806483952,2.364867736566361,0.4963899472548917
"""PIDILITIND_ITC""",0.6329419670421793,2.765787064722138,1.7988751661132814,0.20828808331704876,0.6397893262964804,2.7398681475967606,1.7947917168662944,0.21325701331789773
"""PIDILITIND_RELIANCE""",-0.19907140934297196,3.0594986864671196,1.9949143729698604,0.3931574897661501,-0.1431241447339593,2.987269784589617,1.9386670985591,0.38986685380000147
"""PIDILITIND_ONGC""",0.7118039953775422,2.8198178421390887,1.9787292199077966,0.1751893501562585,0.7131597095700777,2.8131776156297144,1.9670182997014902,0.17262847268894804
"""PIDILITIND_UPL""",0.27989731027875,3.421016211295564,2.201561247230425,0.378644951084914,0.3231689283343171,3.316637902898543,2.12543977367199,0.3661593385103975
"""PIDILITIND_ICICIBANK""",-0.13366126311446513,2.652583769485284,1.5611206243250741,0.4041091074135438,-0.06842211226732786,2.5751283981081534,1.5056500140698104,0.3858282424207266
"""PIDILITIND_SIEMENS""",0.11472961673088333,2.7251857486295923,1.7573529645229937,0.23786627439870955,0.12275917332286568,2.7127986416067817,1.7385042899307477,0.23348664115513534
"""PIDILITIND_ABB""",0.38882604185756986,2.7650414395449507,1.7610237421149941,0.2230166842523785,0.3840085765601108,2.7759175124485065,1.77718253302301,0.22504545507223286
"""PIDILITIND_TCS""",-0.3235366966737139,3.0061734605307637,1.9994357131295228,0.4018893033966353,-0.2679330782322662,2.942349166126149,1.9490573538514109,0.39248127598694993
"""PIDILITIND_INFY""",-0.3328217774683597,2.8747438835417105,1.8710765266616496,0.4083006526386951,-0.32007960392123724,2.8609691776146517,1.8591261176434843,0.4054194866539061
"""PIDILITIND_TATASTEEL""",0.056565781591917386,3.041819995619876,2.1316534705136383,0.3626764739186211,0.06714681654590471,3.0247142151232955,2.1137424772970874,0.35887469815093537
"""PIDILITIND_SUNPHARMA""",0.57253350625197,2.7928721522842235,1.9267724208719557,0.19195173884046118,0.6042194580872686,2.687368582708194,1.8674995193860366,0.1847595826447857
"""PIDILITIND_CONCOR""",0.5643707971982759,3.2815524301304504,2.035334295202565,0.2969919791440096,0.510416956957314,3.4788366635962555,2.2332581110619603,0.30917089855683005
"""PIDILITIND_BHARTIARTL""",0.07537391032764917,3.2629996685466276,2.1890726101665474,0.2450511227517189,0.0927273845314891,3.2322344830157115,2.1698949548987994,0.24395787159798601
